Mazda,CX-70,Midsize SUV,40445,280,332,3.3 I6,25 MPG,Turbocharged
Mazda,CX-90,Fullsize SUV,38045,280,332,3.3 I6,25 MPG,Turbocharged
Mazda,3 Hatchback,Hatchback,25150,191,186,2.5 I4,30 MPG,Naturally Aspirated
Mazda,3 Sedan,Compact Sedan,24150,191,186,2.5 I4,31 MPG,Naturally Aspirated
Mazda,MX-5 Miata,Coupe,29530,181,151,2.0 I4,29 MPG,Naturally Aspirated
Mitsubishi,Eclipse Cross,Compact Crossover SUV,26545,152,184,1.5 I4,26 MPG,Turbocharged
Mitsubishi,Outlander,Compact Crossover SUV,29645,181,181,2.5 I4,27 MPG,Naturally Aspirated
Mitsubishi,Outlander Sport,Subcompact Crossover SUV,23695,148,145,2.0 I4,26 MPG,Naturally Aspirated
Nissan,Altima,Midsize Sedan,27000,188,180,2.5 I4,32 MPG,Naturally Aspirated
Nissan,Ariya,EV Compact Crossover SUV,39770,214,221,Electric,216 Miles of Range,------
Nissan,Armada,Fullsize SUV,56520,425,516,3.5 V6,18 MPG,Twin Turbocharged
Nissan,Frontier,Truck,32050,310,281,3.8 V6,21 MPG,Naturally Aspirated
Nissan,Kicks,Subcompact Crossover SUV,21830,141,140,2.0 I4,31 MPG,Naturally Aspirated
Nissan,Leaf,EV Hatchback,28140,147,236,Electric,149 Miles of Range,------
Nissan,Murano,Midsize Crossover SUV,40470,241,260,2.0 I4,23 MPG,Turbocharged
Nissan,Pathfinder,Midsize SUV,37070,284,259,3.5 V6,23 MPG,Naturally Aspirated
Nissan,Rouge,Compact Crossover SUV,29230,201,225,1.5 I3,33 MPG,Turbocharged
Nissan,Sentra,Compact Sedan,21590,149,146,2.0 I4,34 MPG,Naturally Aspirated
Nissan,Versa,Subcompact Sedan,17190,122,114,1.6 I4,30 MPG,Naturally Aspirated
Nissan,Z,Coupe,42970,400,350,3.0 V6,22 MPG,Twin Turbocharged
Ram,1500,Fullsize Pickup,40275,309,269,3.6 V6,23 MPG,Naturally Aspirated
Ram,2500,3/4 Ton Pickup,45565,405,429,6.4 V8,------,Naturally Aspirated
Subaru,Ascent,Midsize SUV,38910,260,277,2.4 Flat 4,22 MPG,Turbocharged
Subaru,BRZ,Coupe,31210,228,184,2.4 Flat 4,22 MPG,Naturally Aspirated
Subaru,Crosstrek,Compact Crossover SUV,25810,152,145,2.0 Flat 4,29 MPG,Naturally Aspirated
Subaru,Forester,Compact Crossover SUV,29995,180,178,2.5 Flat 4,29 MPG,Naturally Aspirated
Subaru,Impreza,Hatchback,23610,152,145,2.0 Flat 4,30 MPG,Naturally Aspirated
Subaru,Legacy,Midsize Sedan,25210,182,176,2.5 Flat 4,30 MPG,Naturally Aspirated
Subaru,Outback,Midsize Crossover SUV,29010,182,176,2.5 Flat 4,28 MPG,Naturally Aspirated
Subaru,Solterra,Compact Crossover SUV,38495,215,249,Electric,227 Miles of Range,------
Subaru,WRX,Compact Sedan,32735,271,258,2.4 Flat 4,21 MPG,Turbocharged
Toyota,bZ4X,Compact SUV,37070,201,196,Electric,252 Miles of Range,------
Toyota,Camry,Midsize Sedan,28700,225,163,2.5 Hybrid I4,51 MPG,Naturally Aspirated
Toyota,Corolla,Compact Sedan,22325,169,151,2.0 I4,35 MPG,Naturally Aspirated
Toyota,Corolla Cross,Compact Crossover SUV,24035,169,151,2.0 I4,32 MPG,Naturally Aspirated
Toyota,Corolla Hatchback,Hatchback,23780,169,151,2.0 I4,35 MPG,Naturally Aspirated
Toyota,Crown,Fullsize Sedan,41440,240,178,2.5 Hybrid I4,41 MPG,Naturally Aspirated
Toyota,Crown Signia,Midsize Wagon,43590,240,178,2.5 Hybrid I4,38 MPG,Naturally Aspirated
Toyota,GR Supra,Coupe,56250,382,368,3.0 I6,26 MPG,Turbocharged
Toyota,Grand Highlander,Midsize SUV,40860,265,310,2.4 I4,23 MPG,Turbocharged
Toyota,GR86,Coupe,30000,228,184,2.4 Flat 4,22 MPG,Naturally Aspirated
Toyota,Highlander,Midsize SUV,39520,265,310,2.4 I4,25 MPG,Turbocharged
Toyota,Land Cruiser,Midside SUV,56700,326,465,2.4 Hybrid I4,23 MPG,Turbocharged
Toyota,Prius,Hatchback,28350,194,139,2.0 I4,57 MPG,Naturally Aspirated
Toyota,RAV4,Compact Crossover SUV,28850,203,184,2.5 I4,30 MPG,Naturally Aspirated
Toyota,Sequoia,Fullsize SUV,62425,437,583,3.4 V6,22 MPG,Twin Turbocharged
Toyota,Sienna,Minivan,39185,245,176,2.5 Hybrid I4,36 MPG,Naturally Aspirated
Toyota,Tacoma,Midsize Pickup,31590,228,243,2.4 I4,23 MPG,Turbocharged
Toyota,Tundra,Fullsize Pickup,40090,358,406,3.4 V6,20 MPG,Twin Turbocharged
Toyota,4Runner,Midsize SUV,40770,278,317,2.4 I4,22 MPG,Turbocharged
Tesla,Model 3,EV Compact Sedan,42490,257,266,Electric,363 Miles of Range,------
Tesla,Model Y,EV Compact Crossover SUV,44990,295,310,Electric,337 Miles of Range,------
Volkswagen,Atlas,Midsize SUV,38200,269,273,2.0 I4,21 MPG,Turbocharged
Volkswagen,Golf GTI,Hatchback,31965,241,273,2.0 I4,27 MPG,Turbocharged
Volkswagen,ID. Buzz,Van,59995,282,413,Electric,231 Miles of Range,------
Volkswagen,ID.4,EV Crossover SUV,39735,201,229,Electric,206 Miles of Range,------
Volkswagen,Jetta,Compact Sedan,21995,158,184,1.5 I4,33 MPG,Turbocharged
Volkswagen,Taos,Subcompact Crossover SUV,24995,177,184,1.5 I4,33 MPG,Turbocharged
Volkswagen,Tiguan,Compact Crossover SUV,28880,184,221,2.0 I4,26 MPG,Turbocharged
